:START_ID(Keyword),:END_ID(Keyword),:TYPE
page,classification,W2W
temporal,association,W2W
temporal,rule,W2W
temporal,mining,W2W
temporal,framework,W2W
temporal,real,W2W
temporal,time,W2W
temporal,sensor,W2W
temporal,network,W2W
temporal,applications,W2W
association,rule,W2W
association,mining,W2W
association,framework,W2W
association,real,W2W
association,time,W2W
association,sensor,W2W
association,network,W2W
association,applications,W2W
rule,mining,W2W
rule,framework,W2W
rule,real,W2W
rule,time,W2W
rule,sensor,W2W
rule,network,W2W
rule,applications,W2W
mining,framework,W2W
mining,real,W2W
mining,time,W2W
mining,sensor,W2W
mining,network,W2W
mining,applications,W2W
framework,real,W2W
framework,time,W2W
framework,sensor,W2W
framework,network,W2W
framework,applications,W2W
real,time,W2W
real,sensor,W2W
real,network,W2W
real,applications,W2W
time,sensor,W2W
time,network,W2W
time,applications,W2W
sensor,network,W2W
sensor,applications,W2W
network,applications,W2W
query,processing,W2W
query,sensor,W2W
query,networks,W2W
processing,sensor,W2W
processing,networks,W2W
sensor,networks,W2W
time,data,W2W
time,mining,W2W
time,non,W2W
time,streams,W2W
time,networks,W2W
data,mining,W2W
data,non,W2W
data,data,W2W
data,streams,W2W
data,sensor,W2W
data,networks,W2W
mining,non,W2W
mining,data,W2W
mining,streams,W2W
mining,networks,W2W
non,data,W2W
non,streams,W2W
non,sensor,W2W
non,networks,W2W
streams,sensor,W2W
streams,networks,W2W
